@relation mididateWEKA
@attribute s1 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s2 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute a {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a1 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a2 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute t {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t1 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t2 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute b {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b1 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b2 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}

@data
71,69,63,63,63,57,59,60,53,53,53
69,69,63,63,64,59,60,60,53,53,52
69,68,63,64,64,60,60,59,53,52,52
68,67,64,64,65,60,59,59,52,52,55
67,67,64,65,64,59,59,60,52,55,48
67,76,65,64,67,59,60,60,55,48,48
76,74,64,67,65,60,60,59,48,48,55
74,76,67,65,64,60,59,59,48,55,56
76,72,65,64,64,59,59,57,55,56,57
72,67,64,64,64,59,57,60,56,57,52
67,68,64,64,62,57,60,59,57,52,52
68,69,64,62,60,60,59,57,52,52,53
69,74,62,60,65,59,57,57,52,53,50
74,72,60,65,64,57,57,55,53,50,55
72,71,65,64,62,57,55,55,50,55,43
71,72,64,62,64,55,55,55,55,43,48
72,72,62,64,65,55,55,57,43,48,53
72,72,64,65,64,55,57,55,48,53,48
72,0,65,64,0,57,55,0,53,48,0
64,60,57,59,57,52,52,52,45,43,45
60,64,59,57,55,52,52,48,43,45,48
64,67,57,55,55,52,48,50,45,48,47
67,64,55,55,55,48,50,55,48,47,48
64,64,55,55,56,50,55,52,47,48,52
64,69,55,56,57,55,52,52,48,52,48
69,68,56,57,59,52,52,50,52,48,47
68,0,57,59,0,52,50,0,48,47,0
64,62,55,60,59,52,55,53,48,43,43
62,60,60,59,60,55,53,52,43,43,48
60,64,59,60,60,53,52,55,43,48,48
64,64,60,60,60,52,55,55,48,48,48
64,62,60,60,59,55,55,55,48,48,43
62,61,60,59,58,55,55,55,48,43,43
61,62,59,58,59,55,55,55,43,43,55
62,62,58,59,59,55,55,55,43,55,53
62,64,59,59,61,55,55,55,55,53,52
64,65,59,61,62,55,55,57,53,52,50
65,69,61,62,63,55,57,54,52,50,48
69,67,62,63,62,57,54,55,50,48,47
67,67,63,62,62,54,55,53,48,47,47
67,60,62,62,60,55,53,52,47,47,48
60,60,62,60,60,53,52,52,47,48,45
60,62,60,60,60,52,52,54,48,45,44
62,64,60,60,60,52,54,55,45,44,43
64,0,60,60,0,54,55,0,44,43,0
72,69,0,67,64,0,64,60,0,48,60
69,67,67,64,67,64,60,62,48,60,59
67,72,64,67,69,60,62,64,60,59,57
72,72,67,69,72,62,64,67,59,57,52
72,74,69,72,69,64,67,65,57,52,53
74,77,72,69,74,67,65,69,52,53,50
77,76,69,74,72,65,69,67,53,50,52
76,76,74,72,72,69,67,67,50,52,53
76,74,72,72,71,67,67,67,52,53,55
74,79,72,71,67,67,67,59,53,55,52
79,76,71,67,67,67,59,59,55,52,55
76,76,67,67,71,59,59,67,52,55,52
76,72,67,71,69,59,67,64,55,52,57
72,77,71,69,74,67,64,69,52,57,50
77,76,69,74,72,64,69,67,57,50,52
76,76,74,72,69,69,67,67,50,52,53
76,74,72,69,71,67,67,67,52,53,55
74,74,69,71,71,67,67,65,53,55,55
74,72,71,71,72,67,65,64,55,55,48
72,72,71,72,67,65,64,64,55,48,48
72,69,72,67,65,64,64,60,48,48,53
69,67,67,65,62,64,60,59,48,53,55
67,72,65,62,67,60,59,60,53,55,52
72,72,62,67,69,59,60,64,55,52,57
72,74,67,69,71,60,64,67,52,57,55
74,77,69,71,72,64,67,69,57,55,53
77,76,71,72,72,67,69,67,55,53,60
76,76,72,72,72,69,67,67,53,60,52
76,74,72,72,71,67,67,67,60,52,55
74,79,72,71,72,67,67,60,52,55,52
79,77,71,72,74,67,60,69,55,52,50
77,76,72,74,72,60,69,67,52,50,52
76,74,74,72,69,69,67,65,50,52,53
74,72,72,69,69,67,65,64,52,53,53
72,72,69,69,67,65,64,62,53,53,55
72,71,69,67,67,64,62,62,53,55,55
71,72,67,67,67,62,62,64,55,55,48
72,79,67,67,72,62,64,64,55,48,60
79,79,67,72,64,64,64,60,48,60,48
79,77,72,64,65,64,60,59,60,48,50
77,76,64,65,67,60,59,60,48,50,52
76,76,65,67,69,59,60,60,50,52,53
76,74,67,69,71,60,60,67,52,53,55
74,74,69,71,71,60,67,65,53,55,55
74,72,71,71,69,67,65,64,55,55,57
72,71,71,69,67,65,64,62,55,57,59
71,69,69,67,67,64,62,64,57,59,60
69,69,67,67,66,62,64,62,59,60,62
69,67,67,66,67,64,62,59,60,62,55
67,67,66,67,64,62,59,60,62,55,48
