@relation mididateWEKA
@attribute s {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
72,71,69,67,67,66,60,62,62,52,50,50
71,69,69,67,66,66,62,62,60,50,50,50
69,69,67,66,66,67,62,60,59,50,50,43
69,67,67,66,67,59,60,59,55,50,43,55
67,67,69,67,59,60,59,55,55,43,55,55
67,69,71,59,60,62,55,55,55,55,55,55
69,71,67,60,62,59,55,55,55,55,55,53
71,67,72,62,59,60,55,55,55,55,53,52
67,72,64,59,60,60,55,55,55,53,52,48
72,64,64,60,60,60,55,55,55,52,48,47
64,64,65,60,60,60,55,55,53,48,47,45
64,65,69,60,60,65,55,53,60,47,45,41
65,69,69,60,65,65,53,60,60,45,41,48
69,69,67,65,65,64,60,60,60,41,48,48
69,67,72,65,64,64,60,60,55,48,48,48
67,72,71,64,64,65,60,55,55,48,48,50
72,71,72,64,65,67,55,55,55,48,50,52
71,72,67,65,67,64,55,55,60,50,52,48
72,67,69,67,64,65,55,60,60,52,48,53
67,69,71,64,65,65,60,60,62,48,53,50
69,71,72,65,65,64,60,62,55,53,50,52
71,72,74,65,64,62,62,55,57,50,52,53
72,74,72,64,62,64,55,57,55,52,53,55
74,72,71,62,64,67,57,55,55,53,55,43
72,71,71,64,67,65,55,55,55,55,43,43
71,71,72,67,65,64,55,55,55,43,43,48
71,72,72,65,64,65,55,55,57,43,48,41
72,72,72,64,65,64,55,57,55,48,41,48
72,72,0,65,64,0,57,55,0,41,48,0
0,60,62,0,55,59,0,52,55,0,48,43
60,62,64,55,59,60,52,55,55,48,43,48
62,64,64,59,60,60,55,55,55,43,48,48
64,64,65,60,60,60,55,55,55,48,48,50
64,65,67,60,60,60,55,55,55,48,50,52
65,67,69,60,60,60,55,55,53,50,52,53
67,69,67,60,60,60,55,53,55,52,53,52
69,67,65,60,60,59,53,55,55,53,52,50
67,65,64,60,59,60,55,55,55,52,50,48
65,64,62,59,60,62,55,55,55,50,48,47
64,62,64,60,62,60,55,55,55,48,47,48
62,64,67,62,60,59,55,55,52,47,48,43
64,67,62,60,59,59,55,52,52,48,43,45
67,62,62,59,59,55,52,52,50,43,45,47
62,62,64,59,55,55,52,50,55,45,47,48
62,64,65,55,55,55,50,55,55,47,48,50
64,65,67,55,55,60,55,55,55,48,50,52
65,67,69,55,60,60,55,55,53,50,52,53
67,69,67,60,60,60,55,53,55,52,53,52
69,67,64,60,60,60,53,55,55,53,52,48
67,64,62,60,60,59,55,55,53,52,48,43
64,62,60,60,59,60,55,53,52,48,43,45
62,60,65,59,60,62,53,52,57,43,45,41
60,65,64,60,62,60,52,57,55,45,41,43
65,64,0,62,60,0,57,55,0,41,43,0
0,60,64,0,60,64,0,48,52,0,48,52
60,64,67,60,64,67,48,52,55,48,52,55
64,67,67,64,67,60,52,55,55,52,55,52
67,67,67,67,60,64,55,55,55,55,52,48
67,67,67,60,64,62,55,55,55,52,48,47
67,67,72,64,62,62,55,55,54,48,47,45
67,72,71,62,62,62,55,54,55,47,45,43
72,71,72,62,62,64,54,55,55,45,43,48
71,72,72,62,64,65,55,55,57,43,48,48
72,72,69,64,65,65,55,57,60,48,48,48
72,69,67,65,65,64,57,60,60,48,48,48
69,67,64,65,64,60,60,60,55,48,48,48
67,64,62,64,60,59,60,55,55,48,48,43
64,62,64,60,59,60,55,55,55,48,43,43
62,64,65,59,60,62,55,55,55,43,43,43
64,65,67,60,62,64,55,55,55,43,43,43
65,67,64,62,64,60,55,55,55,43,43,48
67,64,62,64,60,59,55,55,55,43,48,43
64,62,64,60,59,60,55,55,55,48,43,48
62,64,65,59,60,62,55,55,55,43,48,43
64,65,62,60,62,59,55,55,55,48,43,43
65,62,64,62,59,60,55,55,55,43,43,48
62,64,65,59,60,62,55,55,60,43,48,48
64,65,67,60,62,64,55,60,60,48,48,48
65,67,67,62,64,60,60,60,55,48,48,52
67,67,65,64,60,59,60,55,55,48,52,50
67,65,65,60,59,62,55,55,55,52,50,47
65,65,64,59,62,60,55,55,55,50,47,48
65,64,67,62,60,64,55,55,60,47,48,48
64,67,72,60,64,67,55,60,60,48,48,52
67,72,74,64,67,65,60,60,57,48,52,53
72,74,72,67,65,64,60,57,55,52,53,55
74,72,71,65,64,62,57,55,55,53,55,43
72,71,71,64,62,65,55,55,55,55,43,43
71,71,72,62,65,64,55,55,55,43,43,48
71,72,72,65,64,65,55,55,57,43,48,53
72,72,72,64,65,64,55,57,55,48,53,48
72,72,0,65,64,0,57,55,0,53,48,0
0,67,64,0,60,60,0,52,55,0,48,48
67,64,65,60,60,60,52,55,57,48,48,48
64,65,69,60,60,60,55,57,53,48,48,48
65,69,67,60,60,60,57,53,52,48,48,48
69,67,64,60,60,60,53,52,55,48,48,48
67,64,72,60,60,64,52,55,55,48,48,46
64,72,72,60,64,65,55,55,53,48,46,45
72,72,65,64,65,60,55,53,60,46,45,45
72,65,67,65,60,60,53,60,59,45,45,43
65,67,69,60,60,60,60,59,57,45,43,41
67,69,62,60,60,59,59,57,55,43,41,43
69,62,67,60,59,59,57,55,53,41,43,43
62,67,67,59,59,60,55,53,52,43,43,48
67,67,64,59,60,60,53,52,58,43,48,48
67,64,65,60,60,60,52,58,57,48,48,48
64,65,69,60,60,60,58,57,53,48,48,48
65,69,67,60,60,60,57,53,52,48,48,48
69,67,64,60,60,60,53,52,55,48,48,48
67,64,62,60,60,59,52,55,55,48,48,50
64,62,71,60,59,62,55,55,55,48,50,50
62,71,69,59,62,60,55,55,54,50,50,50
71,69,66,62,60,60,55,54,57,50,50,50
69,66,67,60,60,59,54,57,55,50,50,43
66,67,67,60,59,59,57,55,53,50,43,43
67,67,67,59,59,60,55,53,52,43,43,48
67,67,64,59,60,60,53,52,58,43,48,55
67,64,60,60,60,55,52,58,58,48,55,52
64,60,72,60,55,64,58,58,58,55,52,48
60,72,72,55,64,65,58,58,57,52,48,41
72,72,69,64,65,65,58,57,60,48,41,41
72,69,65,65,65,60,57,60,57,41,41,53
69,65,69,65,60,61,60,57,55,41,53,52
65,69,69,60,61,62,57,55,54,53,52,50
69,69,66,61,62,62,55,54,60,52,50,57
69,66,62,62,62,57,54,60,60,50,57,54
66,62,74,62,57,66,60,60,60,57,54,50
62,74,74,57,66,67,60,60,59,54,50,43
74,74,71,66,67,67,60,59,62,50,43,55
74,71,67,67,67,62,59,62,59,43,55,53
71,67,72,67,62,55,62,59,60,55,53,52
67,72,72,62,55,60,59,60,55,53,52,52
72,72,72,55,60,62,60,55,57,52,52,53
72,72,72,60,62,64,55,57,58,52,53,55
72,72,72,62,64,65,57,58,60,53,55,57
72,72,71,64,65,60,58,60,60,55,57,53
72,71,69,65,60,60,60,60,53,57,53,41
71,69,67,60,60,60,60,53,52,53,41,43
69,67,64,60,60,60,53,52,55,41,43,43
67,64,60,60,60,55,52,55,52,43,43,48
64,60,60,60,55,57,55,52,53,43,48,41
60,60,60,55,57,55,52,53,52,48,41,48
60,60,0,57,55,0,53,52,0,41,48,0
0,67,64,0,64,60,0,60,55,0,48,48
67,64,62,64,60,59,60,55,53,48,48,48
64,62,60,60,59,60,55,53,52,48,48,48
62,60,69,59,60,60,53,52,53,48,48,48
60,69,67,60,60,60,52,53,52,48,48,48
69,67,64,60,60,60,53,52,55,48,48,48
67,64,65,60,60,60,52,55,53,48,48,45
64,65,67,60,60,60,55,53,52,48,45,43
65,67,69,60,60,60,53,52,53,45,43,41
67,69,71,60,60,60,52,53,53,43,41,41
69,71,72,60,60,60,53,53,53,41,41,45
71,72,67,60,60,60,53,53,52,41,45,48
72,67,67,60,60,59,53,52,53,45,48,50
67,67,67,60,59,60,52,53,55,48,50,52
67,67,65,59,60,59,53,55,55,50,52,50
67,65,64,60,59,60,55,55,55,52,50,48
65,64,62,59,60,59,55,55,53,50,48,48
64,62,60,60,59,60,55,53,52,48,48,48
62,60,69,59,60,65,53,52,60,48,48,48
60,69,67,60,65,64,52,60,60,48,48,48
69,67,67,65,64,62,60,60,60,48,48,48
67,67,64,64,62,60,60,60,55,48,48,48
67,64,62,62,60,59,60,55,55,48,48,50
64,62,71,60,59,62,55,55,50,48,50,50
62,71,71,59,62,62,55,50,52,50,50,50
71,71,71,62,62,60,50,52,54,50,50,50
71,71,69,62,60,60,52,54,54,50,50,50
71,69,67,60,60,59,54,54,55,50,50,43
69,67,67,60,59,67,54,55,55,50,43,55
67,67,67,59,67,67,55,55,55,43,55,53
67,67,67,67,67,67,55,55,55,55,53,52
67,67,67,67,67,65,55,55,55,53,52,50
67,67,69,67,65,64,55,55,55,52,50,48
67,69,67,65,64,62,55,55,55,50,48,47
69,67,64,64,62,60,55,55,55,48,47,48
67,64,65,62,60,60,55,55,57,47,48,53
64,65,64,60,60,60,55,57,56,48,53,53
65,64,65,60,60,60,57,56,57,53,53,53
64,65,69,60,60,60,56,57,57,53,53,53
65,69,72,60,60,60,57,57,55,53,53,52
69,72,72,60,60,60,57,55,54,53,52,51
72,72,72,60,60,60,55,54,55,52,51,52
72,72,72,60,60,60,54,55,60,51,52,60
72,72,72,60,60,64,55,60,60,52,60,58
72,72,72,60,64,65,60,60,60,60,58,57
72,72,72,64,65,70,60,60,60,58,57,55
72,72,74,65,70,69,60,60,60,57,55,53
72,74,72,70,69,67,60,60,60,55,53,52
74,72,69,69,67,65,60,60,60,53,52,53
72,69,69,67,65,65,60,60,59,52,53,50
69,69,67,65,65,64,60,59,60,53,50,52
69,67,65,65,64,62,59,60,57,50,52,53
67,65,64,64,62,60,60,57,55,52,53,55
65,64,62,62,60,59,57,55,53,53,55,43
64,62,60,60,59,60,55,53,52,55,43,48
62,60,65,59,60,60,53,52,55,43,48,41
60,65,64,60,60,60,52,55,55,48,41,48
65,64,0,60,60,0,55,55,0,41,48,0
0,76,77,0,67,67,0,60,62,0,60,60
76,77,79,67,67,67,60,62,64,60,60,60
77,79,79,67,67,67,62,64,64,60,60,55
79,79,77,67,67,67,64,64,62,60,55,55
79,77,76,67,67,67,64,62,60,55,55,55
77,76,74,67,67,67,62,60,59,55,55,53
76,74,72,67,67,67,60,59,60,55,53,52
74,72,74,67,67,67,59,60,59,53,52,50
72,74,76,67,67,67,60,59,60,52,50,48
74,76,76,67,67,67,59,60,60,50,48,55
76,76,74,67,67,67,60,60,59,48,55,55
76,74,76,67,67,67,60,59,60,55,55,60
74,76,77,67,67,69,59,60,60,55,60,60
76,77,79,67,69,70,60,60,62,60,60,60
77,79,79,69,70,70,60,62,64,60,60,60
79,79,79,70,70,70,62,64,64,60,60,48
79,79,77,70,70,69,64,64,65,60,48,50
79,77,76,70,69,69,64,65,67,48,50,52
77,76,74,69,69,69,65,67,65,50,52,53
76,74,72,69,69,67,67,65,64,52,53,55
74,72,74,69,67,71,65,64,65,53,55,55
72,74,76,67,71,72,64,65,67,55,55,55
74,76,74,71,72,71,65,67,65,55,55,55
76,74,72,72,71,67,67,65,64,55,55,48
74,72,74,71,67,71,65,64,62,55,48,55
72,74,74,67,71,67,64,62,59,48,55,55
74,74,76,71,67,67,62,59,60,55,55,55
74,76,72,67,67,72,59,60,64,55,55,55
76,72,74,67,72,71,60,64,67,55,55,55
72,74,76,72,71,67,64,67,60,55,55,55
74,76,77,71,67,67,67,60,62,55,55,55
76,77,76,67,67,67,60,62,60,55,55,55
77,76,72,67,67,67,62,60,64,55,55,55
76,72,74,67,67,71,60,64,67,55,55,55
72,74,76,67,71,72,64,67,64,55,55,55
74,76,77,71,72,71,67,64,62,55,55,55
76,77,76,72,71,71,64,62,64,55,55,56
77,76,74,71,71,68,62,64,64,55,56,52
76,74,72,71,68,69,64,64,64,56,52,57
74,72,72,68,69,67,64,64,64,52,57,57
72,72,74,69,67,66,64,64,62,57,57,50
72,74,74,67,66,66,64,62,60,57,50,50
74,74,67,66,66,67,62,60,59,50,50,55
74,67,76,66,67,67,60,59,60,50,55,48
67,76,76,67,67,67,59,60,60,55,48,60
76,76,77,67,67,69,60,60,60,48,60,60
76,77,79,67,69,70,60,60,62,60,60,60
77,79,79,69,70,70,60,62,64,60,60,60
79,79,79,70,70,69,62,64,60,60,60,53
79,79,77,70,69,69,64,60,65,60,53,50
79,77,76,69,69,69,60,65,67,53,50,52
77,76,74,69,69,69,65,67,65,50,52,53
76,74,72,69,69,67,67,65,64,52,53,55
74,72,74,69,67,71,65,64,65,53,55,55
72,74,76,67,71,72,64,65,67,55,55,60
74,76,74,71,72,71,65,67,65,55,60,55
76,74,72,72,71,67,67,65,64,60,55,48
74,72,72,71,67,69,65,64,65,55,48,53
72,72,72,67,69,67,64,65,64,48,53,48
72,72,0,69,67,0,65,64,0,53,48,0
0,64,64,0,60,60,0,55,55,0,48,43
64,64,64,60,60,60,55,55,55,48,43,48
64,64,65,60,60,60,55,55,55,43,48,50
64,65,67,60,60,60,55,55,55,48,50,52
65,67,67,60,60,62,55,55,59,50,52,53
67,67,67,60,62,64,55,59,60,52,53,52
67,67,72,62,64,64,59,60,55,53,52,48
67,72,72,64,64,65,60,55,57,52,48,53
72,72,69,64,65,65,55,57,60,48,53,53
72,69,67,65,65,60,57,60,60,53,53,52
69,67,69,65,60,60,60,60,52,53,52,45
67,69,67,60,60,62,60,52,55,52,45,47
69,67,64,60,62,60,52,55,55,45,47,48
67,64,62,62,60,59,55,55,55,47,48,43
64,62,64,60,59,60,55,55,55,48,43,48
62,64,64,59,60,60,55,55,55,43,48,43
64,64,64,60,60,60,55,55,55,48,43,48
64,64,65,60,60,60,55,55,55,43,48,50
64,65,67,60,60,60,55,55,55,48,50,52
65,67,67,60,60,62,55,55,59,50,52,53
67,67,67,60,62,64,55,59,60,52,53,52
67,67,72,62,64,60,59,60,57,53,52,45
67,72,71,64,60,62,60,57,55,52,45,50
72,71,69,60,62,62,57,55,54,45,50,48
71,69,74,62,62,62,55,54,55,50,48,47
69,74,72,62,62,64,54,55,55,48,47,48
74,72,71,62,64,62,55,55,55,47,48,50
72,71,69,64,62,62,55,55,54,48,50,50
71,69,69,62,62,60,55,54,54,50,50,50
69,69,67,62,60,59,54,54,55,50,50,43
69,67,67,60,59,64,54,55,59,50,43,52
67,67,69,59,64,64,55,59,60,43,52,48
67,69,71,64,64,64,59,60,59,52,48,43
69,71,72,64,64,64,60,59,57,48,43,45
71,72,71,64,64,63,59,57,54,43,45,47
72,71,71,64,63,63,57,54,59,45,47,47
71,71,71,63,63,64,54,59,59,47,47,49
71,71,71,63,64,66,59,59,59,47,49,51
71,71,66,64,66,63,59,59,59,49,51,47
71,66,67,66,63,64,59,59,59,51,47,52
66,67,69,63,64,64,59,59,57,47,52,48
67,69,71,64,64,64,59,57,55,52,48,47
69,71,72,64,64,64,57,55,57,48,47,45
71,72,71,64,64,63,55,57,54,47,45,47
72,71,69,64,63,63,57,54,54,45,47,47
71,69,67,63,63,59,54,54,52,47,47,52
69,67,64,63,59,60,54,52,55,47,52,48
67,64,64,59,60,60,52,55,55,52,48,43
64,64,64,60,60,60,55,55,55,48,43,48
64,64,65,60,60,60,55,55,55,43,48,50
